name;mass;radius;orbital_period;semi_major_axis;eccentricity
HD 114386 b;1.24;-1;937;1.02;0.23
HD 114386 c;1.19;-1;1046;-1;0.06
HD 114613 b;0.48;-1;3827;5.16;0.25
HD 114729 b;0.84;-1;1135;2.08;0.32
HD 114762 b;10.98;-1;83.9151;353;0.3354
HD 114783 b;1;-1;501;1.2;0.1
HD 11506 b;3.44;-1;1270;2.43;0.22
HD 11506 c;0.82;-1;170.46;639;0.42
HD 116029 b;2.1;-1;670.2;1.73;0.21
HD 117207 b;2.06;-1;2627.08;3.78;0.16
HD 11755 b;6.5;-1;433.7;1.08;0.19
HD 117618 b;178;-1;25827;176;0.42
HD 117618 c;0.2;-1;318;0.93;0
HD 118203 b;2.14;1.05;6.13322;0.07;0.2943
HD 11964 b;622;-1;1945;3.16;0.041
HD 11964 c;79;-1;37.91;229;0.3
HD 11977 b;6.54;-1;711;1.93;0.4
HD 120084 b;4.5;-1;2082;4.3;0.66
HD 121504 b;1.22;-1;63.33;0.33;0.03
HD 122430 b;3.71;-1;344.95;1.02;0.68
HD 125595 b;42;-1;9.6737;0.0809;0
HD 125612 b;3;-1;502;1.37;0.46
HD 125612 c;58;-1;4.1547;0.05;0.27
HD 125612 d;7.2;-1;3008;4.2;0.28
HD 12648 b;2.9;-1;133.6;0.54;0.04
HD 126525 b;224;-1;948.12;1.8105;0.13
HD 12661 b;2.3;-1;263.6;0.83;0.377
HD 12661 c;1.57;-1;1708;2.56;0.031
HD 126614 b;0.38;-1;1244;2.35;0.41
HD 128311 b;2.18;-1;448.6;1099;0.25
HD 128311 c;3.21;-1;919;1.76;0.17
HD 129445 b;1.6;-1;1840;2.9;0.7
HD 130322 b;1.02;-1;10.72;88;0.044
HD 131496 b;2.2;-1;883;2.09;0.163
HD 13189 b;14;-1;471.6;1.85;0.27
HD 132406 b;5.61;-1;974;1.98;0.34
HD 132563B b;1.49;-1;1544;2.62;0.22
HD 134060 b;0.0351;-1;3.27;0.0444;0.4
HD 134060 c;0.1507;-1;1160.9;2.2263;0.75
HD 134606 b;0.0292;-1;12083;0.1023;0.15
HD 134606 c;0.0382;-1;59519;0.2962;0.29
HD 134606 d;121;-1;459.26;1.1567;0.46
HD 134987 b;1.59;-1;258.19;0.81;0.233
HD 134987 c;0.82;-1;5000;5.8;0.12
HD 136352 b;0.0166;-1;11577;0.0933;0.18
HD 136352 c;0.0358;-1;27582;0.1665;0.16
HD 136352 d;0.03;-1;106.72;411;0.43
HD 136418 b;2;-1;464.3;1.32;0.255
HD 137388 b;223;-1;330;0.89;0.36
HD 13808 b;0.0325;-1;14182;0.1017;0.17
HD 13808 c;36;-1;53832;0.2476;0.43
HD 13908 b;865;-1;19382;154;0.046
HD 13908 c;5.13;-1;931;2.03;0.12
HD 13931 b;1.88;-1;4218;5.15;0.02
HD 139357 b;9.76;-1;1125.7;2.36;0.1
HD 14067 b;7.8;-1;1455;3.4;0.533
HD 141399 b;0.46;-1;94.35;0.4225;0.04
HD 141399 c;1.36;-1;202.08;0.7023;0.05
HD 141399 d;1.22;-1;1070.35;2.1348;0.06
HD 141399 e;0.69;-1;3717.35;4.8968;0
HD 141937 b;9.7;-1;653.22;1.52;0.41
HD 142 b;1.25;-1;349.7;1.02;0.17
HD 142 c;5.3;-1;6005;6.8;0.21
HD 142022 A b;5.1;-1;1928;3.03;0.53
HD 142245 b;1.9;-1;1299;2.77;0.32
HD 142415 b;1.62;-1;386.3;1.05;0.5
HD 143361 b;3.12;-1;1057;2;0.15
HD 145377 b;5.76;-1;103.95;0.45;0.307
HD 145457 b;2.9;-1;176.3;0.76;0.112
HD 145934 b;2.28;-1;2730;4.6;0.053
HD 1461 b;0.0203;-1;5.77152;0.0634;0
HD 1461 c;0.0176;-1;13.5052;0.1117;0
HD 147018 b;2.12;-1;44236;0.2388;0.4686
HD 147018 c;6.56;-1;1008;1922;0.133
HD 147513 b;1.21;-1;528.4;1.32;0.26
HD 148156 b;0.85;-1;1010;2.45;0.52
HD 148427 b;0.96;-1;331.5;0.93;0.16
HD 149026 b;356;718;2.8758916;0.04288;0
HD 149143 b;1.33;1.05;4.07206;52;0.0123
HD 1502 b;3.1;-1;431.8;1.31;0.101
HD 150433 b;168;-1;1096.2;1.9303;0
HD 150706 b;2.71;-1;5894;6.7;0.38
HD 152079 b;3;-1;2097;3.2;0.6
HD 152581 b;1.5;-1;689;1.48;0.22
HD 153950 b;2.73;-1;499.4;1.28;0.34
HD 154088 b;0.0193;-1;18596;0.1316;0.38
HD 154345 b;1;-1;3538;4.3;0.26
HD 154672 b;5.02;-1;163.91;0.6;0.61
HD 154857 b;2.24;-1;408.6;1291;0.46
HD 154857 c;2.58;-1;3452;5.36;0.06
HD 155233 b;2;-1;885;2.07;0.03
HD 155358 b;0.85;-1;194.3;0.64;0.17
HD 155358 c;0.82;-1;391.9;1.02;0.16
HD 156279 b;9.71;-1;131.05;495;0.708
HD 156411 b;0.74;-1;842.2;1.88;0.22
HD 156668 b;0.0131;-1;4646;0.05;0
HD 157172 b;0.12;-1;104.84;416;0.46
HD 158038 b;1.8;-1;521;1.52;0.291
HD 159243 b;1.13;-1;12.62;0.11;0.02
HD 159243 c;1.9;-1;248.4;0.8;0.075
HD 159868 b;2.1;-1;1178.4;2.25;0.01
HD 159868 c;0.73;-1;352.3;1;0.15
HD 1605 b;0.96;-1;577.9;1.48;0.078
HD 1605 c;3.48;-1;2111;3.52;0.098
HD 16141 b;215;-1;75.82;0.35;0.28
HD 16175 b;4.4;-1;990;2.1;0.59
HD 162020 b;14.4;-1;8.428198;74;0.277
HD 163607 b;0.77;-1;75229;0.36;0.73
HD 163607 c;2.29;-1;1314;2.42;0.12
HD 16417 b;69;-1;17.24;0.14;0.2
HD 164509 b;0.48;-1;282.4;875;0.26
HD 164595 b;0.0516;-1;40;0.23;0.088
HD 164604 b;2.7;-1;606.4;1.13;0.24
HD 164922 b;0.36;-1;1155;2.11;0.05
HD 1666 b;6.43;-1;270;0.94;0.63
HD 166724 b;3.53;-1;8100;5.42;0.734
HD 167042 b;1.6;-1;416.1;1.3;0.03
HD 168443 b;7659;-1;58.11247;0.2931;0.52883
HD 168443 c;17193;-1;1749.83;2.8373;0.2113
HD 168746 b;0.23;-1;6403;65;0.081
HD 1690 b;6.1;-1;533;1.3;0.64
HD 169830 b;2.88;-1;225.62;0.81;0.31
HD 169830 c;4.04;-1;2102;3.6;0.33
HD 170469 b;0.67;-1;1145;2.24;0.11
HD 17092 b;4.6;-1;359.9;1.29;0.166
HD 171028 b;1.98;-1;550;1.32;0.59
HD 171238 b;2.6;-1;1523;2.54;0.4
HD 17156 b;3191;1095;21.2163979;0.1623;0.6768
HD 173416 b;2.7;-1;323.6;1.16;0.21
HD 175167 b;7.8;-1;1290;2.4;0.54
HD 175541 b;0.61;-1;297.3;1.03;0.33
HD 176051 b;1.5;-1;1016;1.76;0
HD 177830 b;1.49;-1;406.6;1.2218;0.0009
HD 177830 c;0.15;-1;110.9;0.5137;0.3495
HD 178911 B b;6292;-1;71487;0.32;0.1243
HD 179079 b;0.08;-1;14476;0.11;0.115
HD 179949 b;0.92;1.05;3.0925;45;0.0104
HD 180314 b;22;-1;396.03;1.4;0.257
HD 180902 b;1.6;-1;479;1.39;0.09
HD 181342 b;3.3;-1;663;1.78;0.177
HD 181433 b;0.0238;-1;9.3743;0.08;0.396
HD 181433 c;0.64;-1;962;1.76;0.28
HD 181433 d;0.54;-1;2172;3;0.48
HD 181720 b;0.37;-1;956;1.78;0.26
HD 183263 b;3.67;-1;626.5;1.51;0.357
HD 183263 c;3.82;-1;2950;4.25;0.253
HD 185269 b;0.94;-1;6838;77;0.3
HD 187085 b;0.75;-1;986;2.05;0.47
HD 187123 b;0.52;-1;3.0965828;0.0426;0.01
HD 187123 c;1.99;-1;3810;4.89;0.252
HD 18742 b;2.7;-1;772;1.92;0.23
HD 188015 b;1.26;-1;456.46;1.19;0.15
HD 189567 b;0.0316;-1;14275;0.1099;0.23
HD 189733 b;1138;1138;2.21857312;0.03142;0.0041
HD 190360 b;1495;-1;2867.9;3.92;0.343
HD 190360 c;0.06381;-1;17.1186;128;0.107
HD 190647 b;1.9;-1;1038.1;2.07;0.18
HD 190984 b;3.1;-1;4885;5.5;0.57
HD 192263 b;733;-1;24.3587;0.15312;0.008
HD 192310 c;75;-1;525.8;1.18;0.32
HD 192699 b;2.5;-1;351.5;1.16;0.149
HD 195019 b;3.7;-1;18.20163;0.1388;0.014
HD 196050 b;2.83;-1;1316.24;2.47;0.21
HD 196067 b;6.9;-1;3638;5.02;0.66
HD 196885 A b;2.98;-1;1326;2.6;0.48
HD 197037 b;0.79;-1;1035.7;2.07;0.22
HD 19994 b;1.68;-1;535.7;1.42;0.3
HD 20003 b;0.0378;-1;11849;0.0974;0.4
HD 20003 c;0.0422;-1;33823;0.1961;0.16
HD 200964 b;1.85;-1;613.8;1601;0.04
