name;orbital_period
HD 39091 b;2049
HD 39194 b;5.6363
HD 39194 c;14025
HD 39194 d;33941
HD 40307 b;4.3115
HD 40307 c;9.6207
HD 40307 d;20.4184
HD 40307 e;34.62
HD 40307 f;51.56
HD 40307 g;197.8
HD 40979 b;263.1
HD 41004 A b;963
HD 41004 B b;1.32363
HD 4113 b;526.62
HD 4203 b;437.05
HD 4203 c;6700
HD 4208 b;829
HD 4308 b;15609
HD 4313 b;356
HD 43197 b;327.8
HD 43691 b;36.96
HD 44219 b;472.3
HD 45184 b;5.8872
HD 45350 b;890.76
HD 45364 b;226.93
HD 45364 c;342.85
HD 45652 b;43.6
HD 46375 b;3.02358
HD 47186 b;4.0845
HD 47186 c;1353.6
HD 47536 b;430
HD 47536 c;2500
HD 48265 b;700
HD 49674 b;4.94739
HD 50499 b;2482.7
HD 50554 b;1293
HD 51608 b;14.07
HD 51608 c;95415
HD 52265 b;119.6
HD 52265 c;59.9
HD 5319 b;675
HD 5608 b;792.6
HD 564 b;492.3
HD 5891 b;177.11
HD 59686 b;303
HD 60532 b;201.83
HD 60532 c;607.06
HD 62509 b;589.64
HD 63454 b;2.81747
HD 63765 b;358
HD 6434 b;21998
HD 65216 b;572.4
HD 65216 c;152.6
HD 66141 b;480.5
HD 66428 b;1973
HD 67087 b;352.2
HD 67087 c;2374
HD 6718 b;2496
HD 68988 b;6276
HD 69830 b;8667
HD 69830 c;31.56
HD 69830 d;197
HD 70573 b;851.8
HD 70642 b;2231
HD 7199 b;615
HD 72659 b;3658
HD 73256 b;2.54858
HD 73267 b;1260
HD 73526 b;188.3
HD 73526 c;377.8
HD 73534 b;1800
HD 74156 b;51.65
HD 74156 c;2476
HD 7449 b;1275
HD 7449 c;4046
HD 75289 b;3.50928
HD 75898 b;418.2
HD 76700 b;3.97101
HD 77338 b;5.7561
HD 7924 b;5.39792
HD 7924 c;15299
HD 7924 d;24451
HD 79498 b;1966
HD 80606 b;111.43637
HD 81040 b;1001.7
HD 81688 b;184.02
HD 82886 b;705
HD 82943 b;442.4
HD 82943 c;219.3
HD 82943 d;1078
HD 83443 b;2.98572
HD 8535 b;1313
HD 85390 b;788
HD 85390 c;3700
HD 85512 b;58.43
HD 8574 b;227.55
HD 86081 b;1.99809
HD 86226 b;1534
HD 86264 b;1475
HD 8673 b;1634
HD 87883 b;2754
HD 88133 b;3.41566
HD 89307 b;2199
HD 89744 b;256
HD 89744 c;85.2
HD 90156 b;49.77
HD 92788 b;325.81
HD 92788 c;162
HD 93083 b;143.58
HD 93385 b;13186
HD 93385 c;46025
HD 9446 b;30052
HD 9446 c;192.9
HD 95086 b;-1
HD 95089 b;507
HD 95127 b;482
HD 9578 b;494
HD 96063 b;361.1
HD 96127 b;647.3
HD 96167 b;498.9
HD 96700 b;8.1256
HD 96700 c;103.49
HD 97658 b;9.4903
HD 98219 b;436.9
HD 98649 b;4951
HD 99109 b;439.3
HD 99492 b;17.0431
HD 99492 c;4970
HD 99706 b;868
HD169142 b;-1
HIP 105854 b;184.2
HIP 107773 b;144.3
HIP 116454 b;9.1265
HIP 11915;3830
HIP 12961 b;57435
HIP 14810 b;6.673855
HIP 14810 c;147.73
HIP 14810 d;962
HIP 5158 b;345.63
HIP 5158 c;9018
HIP 57050 b;41397
HIP 57274 b;8.1352
HIP 57274 c;32.03
HIP 57274 d;431.7
HIP 63242 b;124.6
HIP 65891 b;1084.5
HIP 67851 b;88.9
HIP 67851 c;2131.8
HIP 70849 b;10000
HIP 73990 b;-1
HIP 73990 c;-1
HIP 74865 b;-1
HIP 75458 b;510702
HIP 77900 b;-1
HIP 78530 b;-1
HIP 79431 b;111.7
HIP 91258 b;5.0505
HIP 97233 b;1058.8
HN Peg b;-1
HR 228 b;360.2
HR 228 c;2732
HR 3549 b;-1
HR 810 b;320.1
HR 8799 b;164250
HR 8799 c;82145
HR 8799 d;41054
HR 8799 e;18000
HU Aqr(AB) c;5646
HW Vir (AB) b;4640
K2-3  b;10.05403
K2-3 c;24.6454
K2-3 d;44.5631
KELT-1 b;1.217514
KELT-10 b;4.166285
KELT-15 b;3.329441
KELT-2A b;4.1137914
