name;mass
HD 202206 c;2.44
HD 20367 b;1.07
HD 2039 b;4.9
HD 204313 b;4.28
HD 204313 c;0.0553
HD 204313 d;1.68
HD 204941 b;0.266
HD 205739 b;1.37
HD 206610 b;2.2
HD 20781 b;0.0379
HD 20781 c;0.0496
HD 20782 b;1.9
HD 207832 b;0.56
HD 207832 c;0.73
HD 20794 b;0.0085
HD 20794 c;0.0076
HD 20794 d;0.015
HD 208487 b;0.413
HD 208527 b;9.9
HD 20868 b;1.99
HD 209458 b;0.69
HD 210277 b;1.23
HD 210702 b;1.9
HD 211847 b;19.2
HD 212301 b;0.4
HD 212771 b;2.3
HD 213240 b;4.5
HD 215152 b;0.0087
HD 215152 c;0.0097
HD 215456 b;0.101
HD 215456 c;0.246
HD 215497 b;0.02
HD 215497 c;0.33
HD 216435 b;1.26
HD 216437 b;1.82
HD 216536 b;1.47
HD 216770 b;0.65
HD 21693 b;0.0322
HD 21693 c;0.06472
HD 217107 b;1.33
HD 217107 c;2.49
HD 217786 b;13
HD 218566 b;0.21
HD 219077 b;10.39
HD 219134 b;0.012
HD 219134 c;0.011
HD 219134 d;0.067
HD 219134 e;0.0117
HD 219134 f;0.028
HD 219134 g;0.034
HD 219134 h;0.34
HD 219415 b;1
HD 219828 b;0.085
HD 220074 b;11.1
HD 220689 b;1.06
HD 220773 b;1.45
HD 221287 b;3.09
HD 222155 b;1.9
HD 222582 b;7.75
HD 224693 b;0.71
HD 22781 b;13.65
HD 23079 b;2.5
HD 23127 b;1.5
HD 231701 b;1.08
HD 233604 b;6.575
HD 23596 b;8.1
HD 240210 b;6.9
HD 240237 b;5.3
HD 24040 b;4.01
HD 24064 b;9.4
HD 25171 b;0.95
HD 2638 b;0.48
HD 27442 b;1.35
HD 27631 b;1.45
HD 27894 b;0.62
HD 28185 b;5.7
HD 28254 b;1.16
HD 284149 b;32
HD 285507 b;0.917
HD 28678 b;1.7
HD 290327 b;2.54
HD 2952 b;1.6
HD 30177 b;7.7
HD 30562 b;1.29
HD 30669 b;0.47
HD 30856 b;1.8
HD 31253 b;0.5
HD 31527 b;0.0363
HD 31527 c;0.0498
HD 31527 d;0.0519
HD 32518 b;3.04
HD 330075 b;0.62
HD 33142 b;1.3
HD 33283 b;0.33
HD 33564 b;9.1
HD 34445 b;0.79
HD 3651 b;0.2
HD 3651 c;0.09
HD 37124 b;0.675
HD 37124 c;0.652
HD 37124 d;0.696
HD 37605 b;2.813
HD 37605 c;3.366
HD 38283 b;0.34
HD 38529 b;0.78
HD 38529 c;17.7
HD 38801 b;10.7
HD 38858 b;0.0961
HD 39091 b;10.3
HD 39194 b;0.0117
HD 39194 c;0.0187
HD 39194 d;0.0162
HD 40307 b;0.012
HD 40307 c;6.43
HD 40307 d;0.0275
HD 40307 e;0.011
HD 40307 f;0.0114
HD 40307 g;0.0223
HD 40979 b;3.28
HD 41004 A b;2.54
HD 41004 B b;18.4
HD 4113 b;1.56
HD 4203 b;1.82
HD 4203 c;2.17
HD 4208 b;0.8
HD 4308 b;0.0405
HD 4313 b;2.3
HD 43197 b;0.6
HD 43691 b;2.49
HD 44219 b;0.58
HD 45184 b;0.04
HD 45350 b;1.79
HD 45364 b;0.1872
HD 45364 c;0.6579
HD 45652 b;0.47
HD 46375 b;0.23
HD 47186 b;0.07167
HD 47186 c;0.35061
HD 47536 b;5
HD 47536 c;7
HD 48265 b;1.16
HD 49674 b;0.1
HD 50499 b;1.71
HD 50554 b;5.16
HD 51608 b;0.0413
HD 51608 c;0.0565
HD 52265 b;1.05
HD 52265 c;0.35
HD 5319 b;1.94
HD 5608 b;1.4
HD 564 b;0.33
HD 5891 b;7.6
HD 59686 b;5.25
HD 60532 b;3.15
HD 60532 c;7.46
HD 62509 b;2.9
HD 63454 b;0.39
HD 63765 b;0.64
HD 6434 b;0.39
HD 65216 b;1.26
HD 65216 c;0.17
HD 66141 b;6
HD 66428 b;2.82
HD 67087 b;3.06
HD 67087 c;4.85
HD 6718 b;1.56
HD 68988 b;1.9
HD 69830 b;0.033
HD 69830 c;0.038
HD 69830 d;0.058
HD 70573 b;6.1
HD 70642 b;2
HD 7199 b;0.29
HD 72659 b;3.15
HD 73256 b;1.87
HD 73267 b;3.06
HD 73526 b;2.9
HD 73526 c;2.5
HD 73534 b;1.15
HD 74156 b;1.88
HD 74156 c;8.03
HD 7449 b;1.11
HD 7449 c;2
HD 75289 b;0.47
HD 75898 b;2.51
HD 76700 b;0.23
HD 77338 b;0.5
HD 7924 b;0.0273
HD 7924 c;0.0247
HD 7924 d;0.0203
HD 79498 b;1.34
HD 80606 b;3.94
HD 81040 b;6.86
HD 81688 b;2.7
HD 82886 b;1.3
HD 82943 b;4.8
HD 82943 c;4.78
HD 82943 d;0.29
HD 83443 b;0.4
HD 8535 b;0.68
HD 85390 b;0.132
HD 85390 c;0.2
HD 85512 b;0.011
HD 8574 b;2.11
HD 86081 b;1.5
HD 86226 b;1.5
HD 86264 b;7
HD 8673 b;14.2
HD 87883 b;12.1
HD 88133 b;0.3
HD 89307 b;2
HD 89744 b;7.2
HD 89744 c;3.2
HD 90156 b;0.057
HD 92788 b;3.86
HD 92788 c;0.9
HD 93083 b;0.37
HD 93385 b;0.0263
HD 93385 c;0.0318
HD 9446 b;0.7
HD 9446 c;1.82
HD 95086 b;5
HD 95089 b;1.2
HD 95127 b;5.01
HD 9578 b;0.62
HD 96063 b;0.9
HD 96127 b;4
HD 96167 b;0.68
HD 96700 b;0.0284
HD 96700 c;0.04
HD 97658 b;0.0237548375
HD 98219 b;1.8
HD 98649 b;6.8
HD 99109 b;0.502
HD 99492 b;0.109
HD 99492 c;0.36
HD 99706 b;1.4
HD169142 b;30
HIP 105854 b;8.2
HIP 107773 b;1.98
HIP 116454 b;0.03719
HIP 11915;0.99
HIP 12961 b;0.35
HIP 14810 b;3.88
HIP 14810 c;1.28
HIP 14810 d;0.57
HIP 5158 b;1.44
HIP 5158 c;15.04
HIP 57050 b;0.298
HIP 57274 b;0.036
HIP 57274 c;0.41
HIP 57274 d;0.527
HIP 63242 b;9.18
HIP 65891 b;6
HIP 67851 b;1.38
HIP 67851 c;5.98
HIP 70849 b;9
HIP 73990 b;21
HIP 73990 c;22
HIP 74865 b;28
HIP 75458 b;8.82
HIP 77900 b;20
HIP 78530 b;23.04
HIP 79431 b;2.1
HIP 91258 b;1.068
HIP 97233 b;20
HN Peg b;16
HR 228 b;2.37
HR 228 c;2.37
HR 3549 b;47.5
HR 810 b;2.26
HR 8799 b;7
HR 8799 c;10
HR 8799 d;10
HR 8799 e;9
HU Aqr(AB) c;5.9
HW Vir (AB) b;14.3
K2-3  b;-1
K2-3 c;-1
K2-3 d;-1
KELT-1 b;27.38
KELT-10 b;0.679
KELT-15 b;0.91
KELT-2A b;1.486
KELT-3 b;1.418
KELT-6 b;0.442
KELT-6 c;3.71
KELT-7 b;1.28
KELT-8 b;0.867
KIC 10001893 b;-1
KIC 10001893 d;-1
KIC 10255705 b;-1
KIC 10905746 b;-1
KIC 11152511 b;-1
KIC 12454613 b;-1
KIC 12557548 b;3
KIC 5010054 b;-1
KIC 5094412 b;-1
KIC 5522786 b;-1
KIC 5732155 b;-1
KIC 6185331 b;-1
KIC 6372194 b;-1
KIC 6436029 b;-1
KIC 9632895 (AB) b;0.03
KIC 9662267 b;-1
KIC 9704149 b;-1
KIC-8552719 b;-1
KMT-2015-1 b;2.2
KOI-1089.02;0.64
KOI-1257 A b;1.45
KOI-1299 c;2.63
KOI-1781 b;-1
KOI-1843 b;0.001
KOI-188 b;0.25
KOI-192 b;0.29
KOI-195 b;0.34
KOI-206 b;2.9
KOI-2138 b;-1
KOI-2700 b;0.002705849
KOI-368.01;-1
KOI-372 b;3.25
KOI-372 c;0.1348
KOI-4427.01;-1
KOI-620.02;0.0239121543
KOI-680 b;0.62
KOI-830 b;1.27
KOI-89 b;-1
KOI-89 c;-1
Kapteyn's b;0.0151024132
Kapteyn's c;0.0220243526
Kepler-10 b;0.0104772992
Kepler-10 c;0.0541169808
Kepler-100 b;0.0231
Kepler-100 c;0.0027
Kepler-100 d;0.0094
Kepler-101 b;-1
Kepler-101 c;-1
Kepler-102 b;0.0220243526
Kepler-102 c;0.0094390083
Kepler-102 d;0.0125853444
Kepler-103 b;0.031
Kepler-103 c;0.114
Kepler-104 b;-1
Kepler-104 c;-1
Kepler-104 d;-1
Kepler-105 c;-1
Kepler-106 b;0.00047
Kepler-106 c;0.03285
Kepler-106 d;0.025
Kepler-106 e;0.03514
Kepler-107 b;-1
Kepler-107 c;-1
Kepler-107 d;-1
Kepler-107 e;-1
Kepler-108 b;-1
Kepler-108 c;-1
Kepler-109 b;0.0041
Kepler-109 c;0.00698
Kepler-11 b;0.0059780386
Kepler-11 c;0.0091243747
